x[ft],Altitude[ft],Velocity[ft/s],gamma,W,V_stall,CL,K,T_A,fuel_burn
0.0,127.9999999973837,570.0370364614345,0.14159476324716885,391085.1601255159,254.71841973524764,0.2795391188999038,0.8244927428297926,103876.05769338271,11.182823595958585
814.171342700778,244.059062893889,570.9952542801364,0.14159476324716885,391069.03352090943,255.1465954850162,0.2795391200797745,0.8254363238169818,103753.03529727685,11.191848470782473
1628.342685401556,360.1181257903943,571.9558472848023,0.14159476324716885,391052.9209915224,255.57583798420046,0.2795391330869624,0.8263816532266802,103630.07743858424,11.200888489414629
2442.514028102334,476.1771886868996,572.9188589694874,0.14159476324716885,391036.8225352973,256.0061507393388,0.27953912307623185,0.8273287688787737,103507.18252408385,11.209944387532103
3256.6853708031413,592.236251583405,573.8842617558346,0.14159476324716885,391020.73815017776,256.43753727129325,0.27953912470651826,0.8282776316139076,103384.35345641883,11.219015508454627
4070.8567135039193,708.2953144799103,574.8520871416517,0.14159476324716885,391004.66783410806,256.87000111531955,0.27953911498013123,0.8292282660420615,103261.58941998277,11.22810235130718
4885.028056204697,824.3543773764156,575.8223076715133,0.14159476324716885,390988.6115850335,257.3035458211377,0.27953912832447514,0.8301806330038102,103138.89330133634,11.237204262617041
5699.199398905475,940.413440272921,576.794978626464,0.14159476324716885,390972.56940090016,257.73817495300244,0.2795391187713961,0.8311347825263052,103016.26282140102,11.246322204014751
6513.370741606253,1056.4725031694263,577.770072417751,0.14159476324716885,390956.54127965507,258.1738920897741,0.27953912088292615,0.8320906751177385,102893.70088091376,11.255455519008285
7327.542084307046,1172.5315660659317,578.7475970476435,0.14159476324716885,390940.527219246,258.61070082499066,0.2795391346384769,0.8330483095969367,102771.20816015806,11.264604245761081
8141.713427007824,1288.590628962437,579.7275844245523,0.14159476324716885,390924.52721762174,259.0486047669401,0.27953913699450794,0.834007710389058,102648.78387397798,11.27376888681753
8955.884769708617,1404.6496918589423,580.710030623822,0.14159476324716885,390908.54127273185,259.4876075387316,0.279539139593321,0.834968863216659,102526.42946199099,11.282949246352857
9770.056112409395,1520.7087547554477,581.69494391254,0.14159476324716885,390892.5693825268,259.92771277836937,0.2795391423129751,0.8359317668225552,102404.14561500832,11.292145365516594
10584.227455110173,1636.767817651953,582.6823324437188,0.14159476324716885,390876.61154495785,260.3689241388255,0.2795391451739429,0.8368964197130044,102281.93303753884,11.30135728271469
11398.398797810965,1752.8268805484583,583.6722043980495,0.14159476324716885,390860.6677579772,260.8112452881132,0.27953914820228537,0.8378628203091055,102159.79243906755,11.310585036366463
12212.570140511743,1868.8859434449637,584.6645678757865,0.14159476324716885,390844.73801953794,261.25467990936187,0.2795391515331474,0.8388309668297121,102037.72454063917,11.319828662809181
13026.741483212521,1984.945006341469,585.6594313019882,0.14159476324716885,390828.82232759387,261.6992317008903,0.2795391550231385,0.8398008577246616,101915.73005032194,11.329088204144279
13840.912825913314,2101.0040692379744,586.6568029029412,0.14159476324716885,390812.9206800998,262.14490437628297,0.2795391587518205,0.8407724911120296,101793.80969504236,11.338363698090609
14655.084168614092,2217.0631321344795,587.6566910225743,0.14159476324716885,390797.0330750113,262.59170166446404,0.2795391627189475,0.8417458651161648,101671.96420141988,11.347655184111673
15469.25551131487,2333.1221950309846,588.659103981214,0.14159476324716885,390781.1595102848,263.0396273097739,0.27953916697945175,0.8427209777151479,101550.19430433356,11.356962700680825
16283.426854015663,2449.1812579274897,589.6640502060932,0.14159476324716885,390765.2999838776,263.48868507204537,0.2795391715193959,0.8436978268790849,101428.50073913333,11.366286287799163
17097.59819671644,2565.240320823995,590.6715381912245,0.14159476324716885,390749.4544937478,263.93887872667995,0.27953917629469943,0.8446764105256976,101306.8842441373,11.37562598621395
17911.76953941722,2681.2993837205,591.6815763008104,0.14159476324716885,390733.6230378544,264.39021206472523,0.27953918141731793,0.8456567263092938,101185.34557233591,11.384981833630434
18725.94088211801,2797.358446617005,592.6941730314632,0.14159476324716885,390717.80561415723,264.84268889295237,0.2795391869067282,0.8466387718994526,101063.88547581037,11.394353869764283
19540.11222481879,2913.41750951351,593.7093490825902,0.14159476324716885,390702.0022206169,265.29631303393387,0.2795391813245553,0.8476225578264455,100942.50399680181,11.40374236817398
20354.283567519567,3029.4765724100153,594.7270766266206,0.14159476324716885,390686.2128551949,265.75108832612244,0.2795391989623277,0.8486080428417793,100821.20403533921,11.413146669781936
21168.45491022036,3145.5356353065204,595.7474006085376,0.14159476324716885,390670.4375158536,266.2070186239291,0.2795392056171483,0.8495952630227243,100699.98422351514,11.42256751275055
21982.626252921138,3261.5946982030255,596.77031759613,0.14159476324716885,390654.6762005561,266.66410779780335,0.27953921267534265,0.8505842028244464,100578.84604250378,11.432004705477324
22796.797595621916,3377.6537610995306,597.7958483763995,0.14159476324716885,390638.9289072664,267.12235973431257,0.2795392088285165,0.8515748723048661,100457.7895677924,11.441458520172262
23610.96893832271,3493.7128239960357,598.8239650819507,0.14159476324716885,390623.19563394925,267.58177833622256,0.27953922830484657,0.8525672297718321,100336.81770053347,11.450928297278105
24425.140281023487,3609.771886892541,599.8547130681616,0.14159476324716885,390607.47637857025,268.04236752257725,0.27953923688617355,0.8535613110775725,100215.92910740251,11.460414778119368
25239.31162372428,3725.830949789046,600.8880888473067,0.14159476324716885,390591.7711390958,268.50413122878143,0.27953924606778946,0.8545571001211766,100095.12529176944,11.469917768635522
26053.482966425057,3841.890012685551,601.9241012772643,0.14159476324716885,390576.0799134932,268.96707340668127,0.2795392558334769,0.8555545937602486,99974.40704920338,11.479437310487777
